Category,Type,Cond_Price,IPTU_Price,Area,Bedrooms,Bathrooms,Garage,Property_Detail,Cond_Detail,Price,Zipcode,City,Neighboor,Address,Description
Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,63m²,2,2,1,"Mobiliado, Churrasqueira, Piscina, Ar condicionado, Academia, Varanda","Academia, Salão de festas, Piscina, Condomínio fechado, Permitido animais, Elevador, Portaria",R$ 450.000,60183694,Fortaleza,Praia do Futuro II,Avenida Clóvis Arrais Maia - de 5501/5502 a 5764/5765,"Código do anúncio: *BeachVillage2b(2)

Localização: Av. Clóvis Arrais Maia, 6280 - Praia do Futuro

Características: Apto com 60 metros, 02 quartos, 02 banheiros, 01 vagas, elevador, lazer completo. Mobiliado (Fica tudo). Vista Mar.

Contatos: (85) 99126.9065 ( Ligações e Whatsapp )"
Casas,Venda - casa em rua pública,R$ 0,R$ 257,96m²,2,2,2,,,R$ 170.000,60873189,Fortaleza,Parque Santa Maria,Rua Pedestre 15 (Lot Santa Helena),"Código do anúncio: CASA PARQUE SANTA MARIA

A casa está localizado no bairro Parque Santa Maria tem 96 metros quadrados com 2 quartos sendo 2 suítes"
Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,75m²,3,3,2,"Área de serviço, Piscina, Churrasqueira","Piscina, Elevador",R$ 590.000,60824040,Fortaleza,Parque Iracema,Rua 5 (Lot Cidade Sul),"Código do anúncio: AP1331

Repasse quitado no Ed. Neo Home Club, apartamento de 75m² no Parque Del Sol,
ÁREA PRIVATIVA  75m² ,
- Hall privativo,
- Sala de estar e jantar,
- Varanda gourmet,
- Cozinha/área de serviço,
- Suíte master com varanda,
- Suíte 1 com banheiro reversível virado para a varanda,
- Suíte 2
- 2 vagas
-Banheiro na varanda gourmet,
-Tomadas USB,
-Internet e telefonia: infraestrutura até o quadro de distribuição da unidade,

-Piso em porcelanato nas áreas secas,
-Banheiro na varanda gourmet,
-Ventilação natural nos banheiros,
-Infraestrutura para aquecimento central de água nos banheiros (aquecedor de passagem a gás). -"
Apartamentos,Venda - apartamento padrão,R$ 250,R$ 1,54m²,2,2,1,"Área de serviço, Armários embutidos, Armários na cozinha, Ar condicionado, Quarto de serviço","Condomínio fechado, Segurança 24h, Portaria, Permitido animais, Salão de festas",R$ 122.000,60130600,Fortaleza,Tauape,Rua Evaristo Reis,"1. Possui: Porta de entrada em madeira de lei, com portão de ferro; todas janelas de vidro com fumê; campainha elétrica; Farmácia e Claviculário para chaves embutidos, em fórmica e compensado; Medidor de água individualizado no próprio andar e externo ao apartartamento; medidor de energia e Sistema de gás, localizados no andar térreo; 1 janela de ventilação por andar; e 9 vagas de garagem móveis internas, e 12 externas (na frente do condomínio).
2. Segurança: possui câmeras internas; com bastante pontos de luz; cerca elétrica; vigia noturno; Portaria alta e 24 h; Portão automático;  e muro de 10m, com concertina.
3. Infra-estrutura: localização privilegiada, distanciando a 10 min do Aeroporto, Rodoviária, Praia do Náutico, e Shoppings (Iguatemi, Del Paseo, e Avenida).
4. A 100m de: Posto Policial; Igreja; mercadinho; e restaurante.
É bem servido de linhas de ônibus (bairro-centro, inter-bairros), e metrô, com ponto a apenas 100m.
5. Outras informações: ambiente predominantemente familiar;  isento de Taxa anual de IPTU; atende a todas as condições de financiamento da CEF; e visitação somente no sábado ou domingo."
Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,58m²,2,2,2,"Varanda, Ar condicionado, Área de serviço, Piscina, Churrasqueira","Elevador, Piscina",R$ 890.000,60165070,Fortaleza,Meireles,Rua Silva Jatahy,"Código do anúncio: AP2469

Conceito
Privilegiada. Assim é a sua vida no Infinity 600. Localizado no bairro mais nobre de Fortaleza, o Meireles, o Infinity 600 é cercado pelo que há de mais sofisticado e luxuoso na cidade.

Plantas e Implantações

Nº de Torres: 01
Nº de Pavimentos: 24 (2 pav. de estacionamento + 1 térreo estacionamento + 18 pav. tipo + 1 cobertura + 2 pav. de lazer, sendo 1 na cobertura)
Unidades por Andar: 04
Total de Unidades: 72
Área Privativa da Unidades: Coluna 1A: 57,90m²; Coluna 1B: 5790² ;Coluna 2A: 56,78; Coluna 2B: 54,60m²; Coluna 2C: 54,60m²; Coluna 3A: 54,85m²; Coluna 3B: 54,85m²; Coluna 4A: 58,38m²; Coluna 4B: 58,38m²
Informações do Empreendimento:
Apartamentos de 54m² a 58m²
1 ou 2 quartos
1 ou 2 vagas
Piscina
Deck com Churrasqueira
Fitness
Coworking
Sky Lounge
Salão de Festas Gourmet
Bicicletário com 5 bicicletas compartilhadas
Sala de Reuniões
E muito mais... -"
Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,94m²,3,3,2,"Piscina, Academia, Churrasqueira","Piscina, Academia, Segurança 24h",R$ 699.552,60110371,Fortaleza,Aldeota,Rua Antônio Augusto - de 911/912 a 2099/2100,"Código do anúncio: AP0022

Super Lançamento na Aldeota.
Myrtos Condominium, 93,75m², 3 suítes, porcelanato, 2 ou 3 vagas de garagem, área de lazer completa com piscina adulto e infantil, salão de festas, academia, espaço kids e mini campo de futebol.
2 apartamentos por andar.

Valores sujeitos a alteração pela construtora.

Agende sua visita.
Márcio Macêdo, CRECI: 19.667f -"
Casas,Venda - casa em rua pública,R$ 0,R$ 0,72m²,3,2,2,,,R$ 255.000,60521040,Fortaleza,Henrique Jorge,Rua Noel Rosa - até 1599/1600,"Código do anúncio: jbv230

Excelente casa multifamiliar, próx. Igreja, lado sombra, sala, 03 quartos, suites, cozinha, área de serviço, quintal."
Apartamentos,Venda - apartamento padrão,R$ 900,R$ 0,117m²,3,4,2,"Piscina, Mobiliado, Academia, Churrasqueira, Ar condicionado","Academia, Condomínio fechado, Piscina",R$ 790.000,60813565,Fortaleza,Engenheiro Luciano Cavalcante,Rua José Alencar Ramos,"Código do anúncio: AP01161

Apartamento com 3 suites, sala ampla, varanda com cortina de vidro,  andar alto, cozinha toda projetada, área comum com piscina, quadra, salão de festas climatizado. todo no parcelanato, sistema de iluminação de led, 100% nascente com vista livre. excelente localização perto de supermercados, faculdade, escolas, shoppings entre outros."
Apartamentos,Venda - apartamento padrão,R$ 950,R$ 0,119m²,3,4,2,Academia,"Salão de festas, Academia, Elevador, Portaria, Condomínio fechado",R$ 650.000,60120385,Fortaleza,Dionisio Torres,Rua Silva Paulet - de 1891/1892 a 3199/3200,"Código do anúncio: ITT2JF

Apartamento no bairro Dionísio Torres disponível para venda com 119 metros quadrados ,conta com sala em L, cozinha, lavanderia, DCE completo tendo 3 suítes sendo uma máster, e 4 banheiros.
O condomínio possui espaço para festas, área de fitness, quadra poliesportiva que vai lhe possibilitar praticar diversos esportes, fica em um condomínio fechado com elevador que garante o transporte das suas malas e compras."
Apartamentos,Venda - apartamento padrão,R$ 2.200,R$ 0,330m²,4,5 ou mais,4,"Varanda, Área de serviço, Piscina, Churrasqueira","Piscina, Elevador",R$ 3.299.000,60175070,Fortaleza,Meireles,Rua Frei Mansueto - até 1330 - lado par,"Código do anúncio: AP10010

Belíssimo apartamento à venda no Meireles, com 330 m² com excelente sala , estilo varandão com 4 suítes, 4 vagas. Condomínio com  lazer completo , com vista mar .

**Os preços, valores e informações contidos neste anúncio podem sofrer alterações sem aviso prévio. Por este motivo todas as informações devem ser confirmadas com o departamento comercial da Equatorial Imóveis..

Agende sua visita com a Equatorial Imóveis  /  whatsapp -"
Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,63m²,3,2,,,,R$ 2.000.000,60455610,Fortaleza,Amadeu Furtado,Rua Nestor Barbosa,"Código do anúncio: 8920... ver número

Prédio residêncial de 9 andares, feito até o sexto andar. 
27 Unidades de 63 m² cada.
Excelente localização, 60% ja finalizado.
Toda documentação 100% legalizada.
Todo regularizado na prefeitura.
Próximo à Jovita Feitosa, igrejas, colégios e mercantis.

Procuro parceiro que queira finalizar a construção e dividir os lucros.

Excelente oportunidade.

Entrar em contato com Silvio. 
 DA PARA LUCRAR EM TORNO DE DOIS MILHÕES...."
Apartamentos,Venda - apartamento padrão,R$ 450,R$ 0,110m²,2,2,1,"Academia, Churrasqueira, Piscina","Piscina, Academia, Salão de festas",R$ 450.000,60060260,Fortaleza,Praia de Iracema,Rua Tomás Lopes,"Código do anúncio: AP15682

Adriano Freire Imóveis vende apartamento no Condomínio Dragão do Mar

O imóvel possuí:
.2 quartos, sendo 1 suíte
.Sala em L
.banheiro social
.Vanda com Vista Mar
.Cozinha Americana
 .Área de Serviço

O condomínio dispõe:
.Piscina
.Academia
.Playground
 .Churrasqueira
.Salão de jogos
.Salão de festas
 .Sauna e mais
.1 vaga de garagem


Localização: Rua Tomás Lopes 200
a duas quadras da Av. Antônio Justa.


 Agende sua visita através de nosso WhatsApp Comercial: (85)9. 


Atualizado quarta, 31 agosto 2022"
Casas,Venda - casa em rua pública,R$ 0,R$ 0,180m²,3,2,3,,,R$ 670.000,60040350,Fortaleza,Fátima,Rua Doutor João de Deus,"Código do anúncio: CA1123

ARRAIS IMOBILIÁRIA vende (AO):

::: Aprovamos seu financiamento :::
- Cote o melhor banco:
CAIXA | ITAU | BRADESCO | SANTANDER

::: Regularizamos o seu imóvel::::
INVENTÁRIO | USUCAPIÃO | AVERBAÇÃO | POSSE.

::: Oportunidade
Excelente Casa no Bairro De Fátima

::: CARACTERÍSTICAS
::: 03 Quartos
::: 02 Banheiros
::: 02 Salas
::: 03 Vagas
::: Casa Plana
::: Jardins;
::: Cerca Elétrica;

::: Posição Perpendicular N
:::: Localização::: Próximo à Escolas, Hospitais, Parada de Ônibus,
Padarias, Posto de Gasolina, Farmácias, Supermercados, Igrejas.

::: Contatos e Maiores Informações:

::: Setor Vendas (Seg à Sáb - 8h as 17h)
(85) 9.  (Zap/Cel)

ALUGUE COM SEGURANÇA:
::: Setor Locação (Seg à Sex - 8h as 17h)
(85) 99606.5839/ (Zap/Cel) -"
Apartamentos,Venda - apartamento padrão,R$ 3.000,R$ 0,300m²,4,5 ou mais,5 ou mais,"Academia, Churrasqueira, Piscina","Piscina, Academia, Salão de festas, Condomínio fechado",R$ 3.699.000,60160070,Fortaleza,Meireles,Rua Antonele Bezerra,"Código do anúncio: RUDU39

Apartamento de 300 m² na melhor localização do Meireles, próximo ao Ideal Clube e a Av. Beira Mar.

4 suítes 
5 vagas
Dependência completa 
Apartamento novo 
Recém entregue 
Vista mar de todos os quartos
Mobília do condomínio de alto luxo
Elevador de cargas que sai cozinha  

Mais informações deixe aqui seu contato ou entre em contato 
Leopoldo Cabral 
Creci 9803"
Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,61m²,2,2,2,"Varanda, Área de serviço",,R$ 165.000,60874690,Fortaleza,Pedras,Rua Pereira Coutinho,"Código do anúncio: AP0200

PARTAMENTOS EM PEDRAS SEM TAXA DE CONDOMÍNIO
ATENÇÃO: SEM TAXA DE CONDOMÍNIO

Fino acabamento na SANCA COM ILUMINAÇÃO EMBUTIDA.
Piso PORCELANATO
Pré-instalação de ar-condicionado
sala, varanda, uma cozinha, dois quartos e dois banheiros
Térreo - 61,00 m2 internos com duas vagas de garagem  R$ 144.800,00
1º andar - 65,40 m2 internos com uma vaga de garagem  R$ 144.800,00
2º e 3º andares - 61,00 m2 internos com uma vaga de garagem  R$ 139.324,00
PARADA DE ÔNIBUS EM FRENTE O CONDOMÍNIO, LINHAS PEDRAS 1 E 2 PRO TERMINAL DE MESSEJANA!
PRÓXIMO A PRACINHA DE PEDRAS, FARMÁCIA, ESCOLAS, IGREJA, POSTO DE SAÚDE, SUPERMERCADOS...
Solicite agora sua simulação e agende uma visita nos números abaixo: -"
Apartamentos,Venda - apartamento padrão,R$ 460,,60m²,3,2,2,"Área de serviço, Armários embutidos, Armários na cozinha, Churrasqueira, Varanda, Piscina","Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Piscina, Salão de festas",R$ 265.000,60425790,Fortaleza,Damas,Rua Campos Novos,"Lindo apartamento no bairro Damas, com 60m2, com elevador,  nascente,  Piscina,  deck com churrasqueira,  Playground,  salão de festas.

DISPÕE DE 3 QTS, SENDO 1 SUITE, 1 REVERSÍVEL,  SALA, COZINHA AMERICANA, ÁREA DE SERVIÇO,  VARANDA,  2 VAGAS DE GARAGEM COBERTAS. 

PORTARIA 24h.

AGENDE UMA VISITA!!

DOCUMENTOS OK,  QUITADO, SOMENTE A VISTA.

ÍTALO MENDES 
CRECI: 18798

TEL/ZAP: 85 ... ver número "
Casas,Venda - casa em condominio fechado,R$ 1.900,R$ 10.929,277m²,3,5 ou mais,4,"Churrasqueira, Piscina, Varanda","Piscina, Condomínio fechado",R$ 1.190.000,60833196,Fortaleza,Sapiranga-Coité,Rua Rafael Tobias - até 1999/2000,"Código do anúncio: 2183

Excelente localização, ampla, com a área construída medindo 277m².

Características do Imóvel: 

- 3 suítes c/ varanda;
- Jardim;
- Ampla sala de estar/jantar;
- Gabinete;
- Lavabo;
- Cozinha;
- Área de serviço;
- Dependência de empregada;
- Quintal;
- 04 vagas de garagem.


Área de Lazer completa com:

- Quadra poliesportiva;
- Piscinas adulto e infantil;
- Bar molhado;
- Academia;
- Playground.

Maiores informações: 

Características do imóvel
Área de serviço
Armário de cozinha
Armário embutido
Churrasqueira
Closet
Copa
Cozinha
Decorado
Dependência de empregados
Escritório
Hidromassagem
Jardim
Lavabo
Piscina
Piso laminado
Portão eletrônico
Quadra poliesportiva
Quintal
Sala de estar
Sala de jantar
Sala de TV
Salão de festas
Sauna à vapor
Sauna seca
Sistema de alarme
Telefone
Varanda



Mais informações em www.guiaimoveisce.com.br"
Apartamentos,Venda - apartamento padrão,R$ 350,R$ 0,68m²,2,1,2,,,R$ 185.000,60410160,Fortaleza,Montese,Rua Isaie Bóris,"Código do anúncio: AP0065_1-2494363

Apartamento Montese, 2 quartos, wc social, 68m² de área, 2 andar, 2 vagas livres, localização privilegiada, a poucos metros da avenida Gomes de Matos/americanas. 
 R$ 185.000,00 (aceita financiamento) 
 Agende sua Visita: 
 (85) 98668.2285 / 3223.0929"
Apartamentos,Venda - apartamento padrão,R$ 300,R$ 0,76m²,2,1,1,"Churrasqueira, Piscina, Área de serviço",Piscina,R$ 200.000,60822610,Fortaleza,Cidade dos Funcionários,Rua Alice,"Código do anúncio: AP0667

Apartamento à venda na Cidade dos Funcionários.
com 2 quartos, sendo 1 suíte, Banheiro Social, sala de estar e jantar, varanda, cozinha, área de serviço.
Condomínio dispõe de gás canalizado, portaria elevada com eclusa e portão automático, interfone, salão de festas, deck, churrasqueira, quadra poliesportiva, piscinas e playground.

Localizada em uma região que mais cresce, próximo a Av Rogaciano Leite, próximo a escolas, supermercados, posto de gasolina, lojas e paradas de ônibus.

* Os valores e as informações contidas nesta página podem sofrer alterações sem prévio aviso. Portanto, orientamos que sempre sejam confirmadas com o nosso departamento comercial. -"
Apartamentos,Venda - apartamento padrão,R$ 600,R$ 0,55m²,2,2,1,"Piscina, Churrasqueira, Área de serviço",Piscina,R$ 628.432,60175185,Fortaleza,Mucuripe,Rua Frei Mansueto - até 629 - lado ímpar,"Código do anúncio: AP0059

Um novo estilo de morar com excelente localização, próximo a tudo que você precisa: Restaurantes, academias, supermercados, Av. Beira Mar. Apartamentos em 54m² e 72m² com 2 e 3 quartos.

Apartamentos de 54m².
- Sendo 1 suíte, banheiro social e 1 quarto.
-Sala, varanda integrada à cozinha e 1 vaga.

Área de Lazer:
-Fitness.
-Piscina Adulto e Infantil.
-Salão de Festas.
-Copa.
-Coworking e Sala de Reuniões.
-Play.
-Wcs Sociais.

OBS: FOTO APARTAMENTO MODELO.

Entrega do Apartamento Outubro de 2022.

Valores à partir de R$: 628.432,00. -"
Apartamentos,Venda - apartamento padrão,R$ 647,R$ 0,106m²,3,2,1,,,R$ 285.000,60175742,Fortaleza,Papicu,Rua Valdetário Mota - de 410/411 a 1268/1269,"Código do anúncio: AP0066

Apartamento no Papicu com 3 dormitórios à venda, 105 m² por R$ 285.000 - Papicu - Fortaleza/CE
Apartamento Residencial à venda, Papicu, Fortaleza -
Ed. Planalto do Sol - Situado a um quarteirão de distância da Av. Santos Dumont, perto do Parque do Cocó, farmácias, bancos, escola, terminal de ônibus, supermercados, hospital e padaria.

105m² - 3 quartos sendo 2 suítes (suíte principal com armário), wc social, sala em L , cozinha com armários e despensa. 1 vaga de garagem fixa + 1 vaga rotativa. 2 elevadores. -"
