Category,Type,Zipcode,City,Neighboor,Address,Description,c_Elevador,c_Portaria,c_Piscina,c_Portao_eletronico,c_Condominio_fechado,c_Segurança_24h,c_Permitido_animais,c_Area_murada,c_Academia,c_Salao_de_festas,p_Porteiro_24h,p_Churrasqueira,p_Piscina,p_Armarios_embutidos,p_Ar_condicionado,p_Quarto_de_servico,p_Varanda,p_Armarios_na_cozinha,p_Academia,p_Area_de_servico,p_Mobiliado,p_Salao_de_festas,Price_Value,Area_value,Bedrooms_qty,Bathrooms_qty,Garage_qty,square_meter_price,full_adress,location
Apartamentos,Venda - apartamento padrão,60183694,Fortaleza,Praia do Futuro II,Avenida Clóvis Arrais Maia - de 5501/5502 a 5764/5765,"Código do anúncio: *BeachVillage2b(2)

Localização: Av. Clóvis Arrais Maia, 6280 - Praia do Futuro

Características: Apto com 60 metros, 02 quartos, 02 banheiros, 01 vagas, elevador, lazer completo. Mobiliado (Fica tudo). Vista Mar.

Contatos: (85) 99126.9065 ( Ligações e Whatsapp )",1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,450000,63,2,2,1,7142.857142857143,"Avenida Clóvis Arrais Maia - de 5501/5502 a 5764/5765, Praia do Futuro II, Fortaleza - CE",
Casas,Venda - casa em rua pública,60873189,Fortaleza,Parque Santa Maria,Rua Pedestre 15 (Lot Santa Helena),"Código do anúncio: CASA PARQUE SANTA MARIA

A casa está localizado no bairro Parque Santa Maria tem 96 metros quadrados com 2 quartos sendo 2 suítes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000,96,2,2,2,1770.8333333333333,"Rua Pedestre 15 (Lot Santa Helena), Parque Santa Maria, Fortaleza - CE",
Apartamentos,Venda - apartamento padrão,60824040,Fortaleza,Parque Iracema,Rua 5 (Lot Cidade Sul),"Código do anúncio: AP1331

Repasse quitado no Ed. Neo Home Club, apartamento de 75m² no Parque Del Sol,
ÁREA PRIVATIVA  75m² ,
- Hall privativo,
- Sala de estar e jantar,
- Varanda gourmet,
- Cozinha/área de serviço,
- Suíte master com varanda,
- Suíte 1 com banheiro reversível virado para a varanda,
- Suíte 2
- 2 vagas
-Banheiro na varanda gourmet,
-Tomadas USB,
-Internet e telefonia: infraestrutura até o quadro de distribuição da unidade,

-Piso em porcelanato nas áreas secas,
-Banheiro na varanda gourmet,
-Ventilação natural nos banheiros,
-Infraestrutura para aquecimento central de água nos banheiros (aquecedor de passagem a gás). -",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,590000,75,3,3,2,7866.666666666667,"Rua 5 (Lot Cidade Sul), Parque Iracema, Fortaleza - CE",
Apartamentos,Venda - apartamento padrão,60130600,Fortaleza,Tauape,Rua Evaristo Reis,"1. Possui: Porta de entrada em madeira de lei, com portão de ferro; todas janelas de vidro com fumê; campainha elétrica; Farmácia e Claviculário para chaves embutidos, em fórmica e compensado; Medidor de água individualizado no próprio andar e externo ao apartartamento; medidor de energia e Sistema de gás, localizados no andar térreo; 1 janela de ventilação por andar; e 9 vagas de garagem móveis internas, e 12 externas (na frente do condomínio).
2. Segurança: possui câmeras internas; com bastante pontos de luz; cerca elétrica; vigia noturno; Portaria alta e 24 h; Portão automático;  e muro de 10m, com concertina.
3. Infra-estrutura: localização privilegiada, distanciando a 10 min do Aeroporto, Rodoviária, Praia do Náutico, e Shoppings (Iguatemi, Del Paseo, e Avenida).
4. A 100m de: Posto Policial; Igreja; mercadinho; e restaurante.
É bem servido de linhas de ônibus (bairro-centro, inter-bairros), e metrô, com ponto a apenas 100m.
5. Outras informações: ambiente predominantemente familiar;  isento de Taxa anual de IPTU; atende a todas as condições de financiamento da CEF; e visitação somente no sábado ou domingo.",0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,122000,54,2,2,1,2259.259259259259,"Rua Evaristo Reis, Tauape, Fortaleza - CE","Rua Evaristo Reis, São João do Tauape, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60130-490, Brasil"
Apartamentos,Venda - apartamento padrão,60165070,Fortaleza,Meireles,Rua Silva Jatahy,"Código do anúncio: AP2469

Conceito
Privilegiada. Assim é a sua vida no Infinity 600. Localizado no bairro mais nobre de Fortaleza, o Meireles, o Infinity 600 é cercado pelo que há de mais sofisticado e luxuoso na cidade.

Plantas e Implantações

Nº de Torres: 01
Nº de Pavimentos: 24 (2 pav. de estacionamento + 1 térreo estacionamento + 18 pav. tipo + 1 cobertura + 2 pav. de lazer, sendo 1 na cobertura)
Unidades por Andar: 04
Total de Unidades: 72
Área Privativa da Unidades: Coluna 1A: 57,90m²; Coluna 1B: 5790² ;Coluna 2A: 56,78; Coluna 2B: 54,60m²; Coluna 2C: 54,60m²; Coluna 3A: 54,85m²; Coluna 3B: 54,85m²; Coluna 4A: 58,38m²; Coluna 4B: 58,38m²
Informações do Empreendimento:
Apartamentos de 54m² a 58m²
1 ou 2 quartos
1 ou 2 vagas
Piscina
Deck com Churrasqueira
Fitness
Coworking
Sky Lounge
Salão de Festas Gourmet
Bicicletário com 5 bicicletas compartilhadas
Sala de Reuniões
E muito mais... -",1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,890000,58,2,2,2,15344.827586206897,"Rua Silva Jatahy, Meireles, Fortaleza - CE","Rua Silva Jatahy, Meireles, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60165-070, Brasil"
Apartamentos,Venda - apartamento padrão,60110371,Fortaleza,Aldeota,Rua Antônio Augusto - de 911/912 a 2099/2100,"Código do anúncio: AP0022

Super Lançamento na Aldeota.
Myrtos Condominium, 93,75m², 3 suítes, porcelanato, 2 ou 3 vagas de garagem, área de lazer completa com piscina adulto e infantil, salão de festas, academia, espaço kids e mini campo de futebol.
2 apartamentos por andar.

Valores sujeitos a alteração pela construtora.

Agende sua visita.
Márcio Macêdo, CRECI: 19.667f -",0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,699552,94,3,3,2,7442.04255319149,"Rua Antônio Augusto - de 911/912 a 2099/2100, Aldeota, Fortaleza - CE",
Casas,Venda - casa em rua pública,60521040,Fortaleza,Henrique Jorge,Rua Noel Rosa - até 1599/1600,"Código do anúncio: jbv230

Excelente casa multifamiliar, próx. Igreja, lado sombra, sala, 03 quartos, suites, cozinha, área de serviço, quintal.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255000,72,3,2,2,3541.6666666666665,"Rua Noel Rosa - até 1599/1600, Henrique Jorge, Fortaleza - CE",
Apartamentos,Venda - apartamento padrão,60813565,Fortaleza,Engenheiro Luciano Cavalcante,Rua José Alencar Ramos,"Código do anúncio: AP01161

Apartamento com 3 suites, sala ampla, varanda com cortina de vidro,  andar alto, cozinha toda projetada, área comum com piscina, quadra, salão de festas climatizado. todo no parcelanato, sistema de iluminação de led, 100% nascente com vista livre. excelente localização perto de supermercados, faculdade, escolas, shoppings entre outros.",0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,790000,117,3,4,2,6752.136752136752,"Rua José Alencar Ramos, Engenheiro Luciano Cavalcante, Fortaleza - CE","Rua José Alencar Ramos, Engenheiro Luciano Cavalcante, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 61658-130, Brasil"
Apartamentos,Venda - apartamento padrão,60120385,Fortaleza,Dionisio Torres,Rua Silva Paulet - de 1891/1892 a 3199/3200,"Código do anúncio: ITT2JF

Apartamento no bairro Dionísio Torres disponível para venda com 119 metros quadrados ,conta com sala em L, cozinha, lavanderia, DCE completo tendo 3 suítes sendo uma máster, e 4 banheiros.
O condomínio possui espaço para festas, área de fitness, quadra poliesportiva que vai lhe possibilitar praticar diversos esportes, fica em um condomínio fechado com elevador que garante o transporte das suas malas e compras.",1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,650000,119,3,4,2,5462.18487394958,"Rua Silva Paulet - de 1891/1892 a 3199/3200, Dionisio Torres, Fortaleza - CE",
Apartamentos,Venda - apartamento padrão,60060260,Fortaleza,Praia de Iracema,Rua Tomás Lopes,"Código do anúncio: AP15682

Adriano Freire Imóveis vende apartamento no Condomínio Dragão do Mar

O imóvel possuí:
.2 quartos, sendo 1 suíte
.Sala em L
.banheiro social
.Vanda com Vista Mar
.Cozinha Americana
 .Área de Serviço

O condomínio dispõe:
.Piscina
.Academia
.Playground
 .Churrasqueira
.Salão de jogos
.Salão de festas
 .Sauna e mais
.1 vaga de garagem


Localização: Rua Tomás Lopes 200
a duas quadras da Av. Antônio Justa.


 Agende sua visita através de nosso WhatsApp Comercial: (85)9. 


Atualizado quarta, 31 agosto 2022",0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,450000,110,2,2,1,4090.909090909091,"Rua Tomás Lopes, Praia de Iracema, Fortaleza - CE","Rua Tomás Lopes, Praia de Iracema, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60060-260, Brasil"
Casas,Venda - casa em rua pública,60040350,Fortaleza,Fátima,Rua Doutor João de Deus,"Código do anúncio: CA1123

ARRAIS IMOBILIÁRIA vende (AO):

::: Aprovamos seu financiamento :::
- Cote o melhor banco:
CAIXA | ITAU | BRADESCO | SANTANDER

::: Regularizamos o seu imóvel::::
INVENTÁRIO | USUCAPIÃO | AVERBAÇÃO | POSSE.

::: Oportunidade
Excelente Casa no Bairro De Fátima

::: CARACTERÍSTICAS
::: 03 Quartos
::: 02 Banheiros
::: 02 Salas
::: 03 Vagas
::: Casa Plana
::: Jardins;
::: Cerca Elétrica;

::: Posição Perpendicular N
:::: Localização::: Próximo à Escolas, Hospitais, Parada de Ônibus,
Padarias, Posto de Gasolina, Farmácias, Supermercados, Igrejas.

::: Contatos e Maiores Informações:

::: Setor Vendas (Seg à Sáb - 8h as 17h)
(85) 9.  (Zap/Cel)

ALUGUE COM SEGURANÇA:
::: Setor Locação (Seg à Sex - 8h as 17h)
(85) 99606.5839/ (Zap/Cel) -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670000,180,3,2,3,3722.222222222222,"Rua Doutor João de Deus, Fátima, Fortaleza - CE","Rua Doutor João de Deus, Fátima, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60040-350, Brasil"
Apartamentos,Venda - apartamento padrão,60874690,Fortaleza,Pedras,Rua Pereira Coutinho,"Código do anúncio: AP0200

PARTAMENTOS EM PEDRAS SEM TAXA DE CONDOMÍNIO
ATENÇÃO: SEM TAXA DE CONDOMÍNIO

Fino acabamento na SANCA COM ILUMINAÇÃO EMBUTIDA.
Piso PORCELANATO
Pré-instalação de ar-condicionado
sala, varanda, uma cozinha, dois quartos e dois banheiros
Térreo - 61,00 m2 internos com duas vagas de garagem  R$ 144.800,00
1º andar - 65,40 m2 internos com uma vaga de garagem  R$ 144.800,00
2º e 3º andares - 61,00 m2 internos com uma vaga de garagem  R$ 139.324,00
PARADA DE ÔNIBUS EM FRENTE O CONDOMÍNIO, LINHAS PEDRAS 1 E 2 PRO TERMINAL DE MESSEJANA!
PRÓXIMO A PRACINHA DE PEDRAS, FARMÁCIA, ESCOLAS, IGREJA, POSTO DE SAÚDE, SUPERMERCADOS...
Solicite agora sua simulação e agende uma visita nos números abaixo: -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,165000,61,2,2,2,2704.9180327868853,"Rua Pereira Coutinho, Pedras, Fortaleza - CE","Rua Pereira Coutinho, Pedras, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60874-690, Brasil"
Apartamentos,Venda - apartamento padrão,60425790,Fortaleza,Damas,Rua Campos Novos,"Lindo apartamento no bairro Damas, com 60m2, com elevador,  nascente,  Piscina,  deck com churrasqueira,  Playground,  salão de festas.

DISPÕE DE 3 QTS, SENDO 1 SUITE, 1 REVERSÍVEL,  SALA, COZINHA AMERICANA, ÁREA DE SERVIÇO,  VARANDA,  2 VAGAS DE GARAGEM COBERTAS. 

PORTARIA 24h.

AGENDE UMA VISITA!!

DOCUMENTOS OK,  QUITADO, SOMENTE A VISTA.

ÍTALO MENDES 
CRECI: 18798

TEL/ZAP: 85 ... ver número ",1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,265000,60,3,2,2,4416.666666666667,"Rua Campos Novos, Damas, Fortaleza - CE","Rua Campos Novos, Damas, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60425-790, Brasil"
Casas,Venda - casa em condominio fechado,60833196,Fortaleza,Sapiranga-Coité,Rua Rafael Tobias - até 1999/2000,"Código do anúncio: 2183

Excelente localização, ampla, com a área construída medindo 277m².

Características do Imóvel: 

- 3 suítes c/ varanda;
- Jardim;
- Ampla sala de estar/jantar;
- Gabinete;
- Lavabo;
- Cozinha;
- Área de serviço;
- Dependência de empregada;
- Quintal;
- 04 vagas de garagem.


Área de Lazer completa com:

- Quadra poliesportiva;
- Piscinas adulto e infantil;
- Bar molhado;
- Academia;
- Playground.

Maiores informações: 

Características do imóvel
Área de serviço
Armário de cozinha
Armário embutido
Churrasqueira
Closet
Copa
Cozinha
Decorado
Dependência de empregados
Escritório
Hidromassagem
Jardim
Lavabo
Piscina
Piso laminado
Portão eletrônico
Quadra poliesportiva
Quintal
Sala de estar
Sala de jantar
Sala de TV
Salão de festas
Sauna à vapor
Sauna seca
Sistema de alarme
Telefone
Varanda



Mais informações em www.guiaimoveisce.com.br",0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1190000,277,3,5,4,4296.028880866426,"Rua Rafael Tobias - até 1999/2000, Sapiranga-Coité, Fortaleza - CE",
